klub_naziv,kratica,nadimak,klub_grad,klub_drzava,osnovan,predsjednik,trener,liga,web,stadion_naziv,stadion_grad,stadion_drzava,adresa,kapacitet,podloga,ime,prezime,igrac_drzava,pozicija,datum_rod
AC Milan,MIL,I Rossoneri,Milano,Italija,1899-12-16,Paolo Scaroni,Stefano Pioli,Serie A,https://www.acmilan.com/en,Stadio Giuseppe Meazza,Milano,Italija,"Via Piccolomini 5, 20151",80018,hibridna trava,Sandro,Tonali,Italija,MF,2000-05-08
AC Milan,MIL,I Rossoneri,Milano,Italija,1899-12-16,Paolo Scaroni,Stefano Pioli,Serie A,https://www.acmilan.com/en,Stadio Giuseppe Meazza,Milano,Italija,"Via Piccolomini 5, 20151",80018,hibridna trava,Mike,Maignan,Francuska,GK,1995-07-03
AC Milan,MIL,I Rossoneri,Milano,Italija,1899-12-16,Paolo Scaroni,Stefano Pioli,Serie A,https://www.acmilan.com/en,Stadio Giuseppe Meazza,Milano,Italija,"Via Piccolomini 5, 20151",80018,hibridna trava,Zlatan,Ibrahimović,Švedska,FW,1981-10-03
AC Milan,MIL,I Rossoneri,Milano,Italija,1899-12-16,Paolo Scaroni,Stefano Pioli,Serie A,https://www.acmilan.com/en,Stadio Giuseppe Meazza,Milano,Italija,"Via Piccolomini 5, 20151",80018,hibridna trava,Simon,Kjaer,Danska,DF,1989-03-26
FC Internazionale Milano,INT,I Nerazzurri,Milano,Italija,1908-03-09,Steven Zhang,Simone Inzaghi,Serie A,https://www.inter.it/en,Stadio Giuseppe Meazza,Milano,Italija,"Via Piccolomini 5, 20151",80018,hibridna trava,Lautaro,Martínez,Argentina,FW,1997-08-22
FC Internazionale Milano,INT,I Nerazzurri,Milano,Italija,1908-03-09,Steven Zhang,Simone Inzaghi,Serie A,https://www.inter.it/en,Stadio Giuseppe Meazza,Milano,Italija,"Via Piccolomini 5, 20151",80018,hibridna trava,Marcelo,Brozović,Hrvatska,MF,1992-11-16
FC Internazionale Milano,INT,I Nerazzurri,Milano,Italija,1908-03-09,Steven Zhang,Simone Inzaghi,Serie A,https://www.inter.it/en,Stadio Giuseppe Meazza,Milano,Italija,"Via Piccolomini 5, 20151",80018,hibridna trava,Milan,Škriniar,Slovačka,DF,1995-02-11
FC Internazionale Milano,INT,I Nerazzurri,Milano,Italija,1908-03-09,Steven Zhang,Simone Inzaghi,Serie A,https://www.inter.it/en,Stadio Giuseppe Meazza,Milano,Italija,"Via Piccolomini 5, 20151",80018,hibridna trava,Samir,Handanovič,Slovenija,GK,1984-07-14
AS Roma,ROM,I Giallorossi,Rim,Italija,1926-06-07,Dan Friedkin,José Mourinho,Serie A,https://www.asroma.com/,Stadio Olimpico,Rim,Italija,"Viale dei Gladiatori, 00135",72698,prirodna trava,Tammy,Abraham,Engleska,FW,1997-10-02
AS Roma,ROM,I Giallorossi,Rim,Italija,1926-06-07,Dan Friedkin,José Mourinho,Serie A,https://www.asroma.com/,Stadio Olimpico,Rim,Italija,"Viale dei Gladiatori, 00135",72698,prirodna trava,Rui,Patrício,Portugal,GK,1988-02-15
AS Roma,ROM,I Giallorossi,Rim,Italija,1926-06-07,Dan Friedkin,José Mourinho,Serie A,https://www.asroma.com/,Stadio Olimpico,Rim,Italija,"Viale dei Gladiatori, 00135",72698,prirodna trava,Nicolò,Zaniolo,Italija,MF,1999-07-02
AS Roma,ROM,I Giallorossi,Rim,Italija,1926-06-07,Dan Friedkin,José Mourinho,Serie A,https://www.asroma.com/,Stadio Olimpico,Rim,Italija,"Viale dei Gladiatori, 00135",72698,prirodna trava,Gianluca,Mancini,Italija,DF,1996-04-17
SS Lazio,LAZ,I Biancocelesti,Rim,Italija,1900-01-09,Claudio Lotito,Maurizio Sarri,Serie A,https://www.sslazio.it/en/,Stadio Olimpico,Rim,Italija,"Viale dei Gladiatori, 00135",72698,prirodna trava,Pepe,Reina,Španjolska,GK,1982-08-31
SS Lazio,LAZ,I Biancocelesti,Rim,Italija,1900-01-09,Claudio Lotito,Maurizio Sarri,Serie A,https://www.sslazio.it/en/,Stadio Olimpico,Rim,Italija,"Viale dei Gladiatori, 00135",72698,prirodna trava,Sergej,Milinković-Savić,Srbija,MF,1995-02-27
SS Lazio,LAZ,I Biancocelesti,Rim,Italija,1900-01-09,Claudio Lotito,Maurizio Sarri,Serie A,https://www.sslazio.it/en/,Stadio Olimpico,Rim,Italija,"Viale dei Gladiatori, 00135",72698,prirodna trava,Ciro,Immobile,Italija,FW,1990-02-20
SS Lazio,LAZ,I Biancocelesti,Rim,Italija,1900-01-09,Claudio Lotito,Maurizio Sarri,Serie A,https://www.sslazio.it/en/,Stadio Olimpico,Rim,Italija,"Viale dei Gladiatori, 00135",72698,prirodna trava,Francesco,Acerbi,Italija,DF,1988-02-10
Chelsea FC,CHE,The Blues,London,Engleska,1905-03-10,Bruce Buck,Thomas Tuchel,Premier League,https://www.chelseafc.com/en,Stamford Bridge,London,Engleska,"Fulham Road, SW6 1HS",41837,hibridna trava,Edouard,Mendy,Senegal,GK,1992-03-01
Chelsea FC,CHE,The Blues,London,Engleska,1905-03-10,Bruce Buck,Thomas Tuchel,Premier League,https://www.chelseafc.com/en,Stamford Bridge,London,Engleska,"Fulham Road, SW6 1HS",41837,hibridna trava,Thiago,Silva,Brazil,DF,1984-09-22
Chelsea FC,CHE,The Blues,London,Engleska,1905-03-10,Bruce Buck,Thomas Tuchel,Premier League,https://www.chelseafc.com/en,Stamford Bridge,London,Engleska,"Fulham Road, SW6 1HS",41837,hibridna trava,Mateo,Kovačić,Hrvatska,MF,1994-05-06
Chelsea FC,CHE,The Blues,London,Engleska,1905-03-10,Bruce Buck,Thomas Tuchel,Premier League,https://www.chelseafc.com/en,Stamford Bridge,London,Engleska,"Fulham Road, SW6 1HS",41837,hibridna trava,Romelu,Lukaku,Belgija,FW,1993-05-13
Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,Alisson,Becker,Brazil,GK,1992-10-02
Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,Virgil,van Dijk,Nizozemska,DF,1991-07-08
Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,Jordan,Henderson,Engleska,MF,1990-06-17
Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,Mohamed,Salah,Egipat,FW,1992-06-15
Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,Jan,Oblak,Slovenija,GK,1993-01-07
Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,José María,Giménez,Španjolska,DF,1995-01-20
Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,Marcos,Llorente,Španjolska,MF,1995-01-30
Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,Luis,Suárez,Urugvaj,FW,1987-01-24
Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,Thibaut,Courtois,Belgija,GK,1992-05-11
Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,David,Alaba,Austrija,DF,1992-06-24
Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,Luka,Modrić,Hrvatska,MF,1985-09-09
Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,Karim,Benzema,Francuska,FW,1987-12-19
FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,Manuel,Neuer,Njemačka,GK,1986-03-27
FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,Josip,Stanišić,Hrvatska,DF,2000-04-02
FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,Joshua,Kimmich,Njemačka,MF,1995-02-08
FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,Robert,Lewandowski,Poljska,FW,1988-08-21
Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,Roman,Bürki,Švicarska,GK,1990-11-14
Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,Mats,Hummels,Njemačka,DF,1988-12-16
Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,Jude,Bellingham,Engleska,MF,2003-06-29
Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,Erling Braut,Haaland,Norveška,FW,2000-07-21
